Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RATS_1,0.233,0.249,0.265,0.282,0.300,0.332,0.356,0.395,0.435,0.476,0.547,0.582,0.619,0.658,0.706,0.756,0.809,0.865,0.925,0.988,1.055,1.127,1.203,1.283,1.369,1.447,1.526,1.607,1.688,1.772,1.858,2.000
RAYL_1,0.275,0.295,0.313,0.333,0.355,0.392,0.421,0.467,0.514,0.562,0.646,0.688,0.732,0.778,0.834,0.894,0.956,1.023,1.093,1.168,1.247,1.332,1.421,1.517,1.618,1.710,1.804,1.899,1.996,2.095,2.196,2.364
REBR_3,0.070,0.075,0.079,0.084,0.090,0.099,0.107,0.118,0.130,0.142,0.164,0.174,0.185,0.197,0.211,0.226,0.242,0.259,0.277,0.296,0.316,0.337,0.360,0.384,0.410,0.433,0.457,0.481,0.505,0.530,0.556,0.598
REDH,0.019,0.019,0.020,0.021,0.022,0.025,0.027,0.030,0.033,0.036,0.041,0.044,0.046,0.049,0.053,0.057,0.061,0.065,0.069,0.074,0.079,0.084,0.090,0.096,0.103,0.108,0.114,0.120,0.127,0.133,0.139,0.150
REDM_P,0.018,0.019,0.020,0.021,0.023,0.025,0.027,0.030,0.033,0.036,0.041,0.044,0.047,0.050,0.053,0.057,0.061,0.065,0.070,0.075,0.080,0.085,0.091,0.097,0.104,0.110,0.115,0.122,0.128,0.134,0.141,0.151
ROCH_1,0.117,0.126,0.133,0.142,0.151,0.167,0.179,0.199,0.219,0.240,0.275,0.293,0.312,0.331,0.355,0.381,0.407,0.436,0.466,0.497,0.531,0.567,0.605,0.646,0.689,0.728,0.768,0.809,0.850,0.892,0.935,1.007
RUGEB1,0.141,0.151,0.160,0.170,0.182,0.201,0.216,0.239,0.263,0.288,0.331,0.352,0.375,0.398,0.427,0.458,0.490,0.524,0.560,0.598,0.639,0.682,0.728,0.777,0.829,0.876,0.924,0.972,1.022,1.073,1.124,1.211
RYEH_1,0.225,0.242,0.256,0.273,0.291,0.322,0.345,0.383,0.422,0.461,0.530,0.564,0.600,0.638,0.684,0.732,0.784,0.838,0.896,0.957,1.022,1.091,1.165,1.243,1.326,1.402,1.478,1.556,1.636,1.717,1.799,1.937
SACO,0.031,0.033,0.035,0.037,0.039,0.044,0.047,0.053,0.058,0.063,0.072,0.077,0.082,0.087,0.094,0.100,0.108,0.114,0.122,0.131,0.139,0.149,0.159,0.170,0.181,0.192,0.202,0.213,0.224,0.235,0.246,0.264
SALH_1,0.084,0.090,0.096,0.102,0.109,0.120,0.129,0.143,0.158,0.172,0.198,0.211,0.224,0.239,0.256,0.274,0.293,0.314,0.335,0.358,0.382,0.408,0.436,0.465,0.496,0.524,0.553,0.582,0.612,0.642,0.673,0.725
